    group bug caracteristic fixation
1      G1 III            GI      760
2      G1  IV            GW      888
3      G1   V           IAI      269
4      G1  VI           IAW      123
5      G1   I           IEI      657
6      G1  II           IEW       82
7      G2   I            GW      364
8      G2  II           IAI     1063
9      G2 III           IAW      143
10     G2  IV           IEI      599
11     G2   V           IEW       45
12     G2  VI            GI      236
13     G3  VI           IAI      423
14     G3   I           IAW      923
15     G3  II           IEI     1826
16     G3 III           IEW     1158
17     G3  IV            GI      815
18     G3   V            GW      678
19     G4   V           IAW      224
20     G4  VI           IEI       78
21     G4   I           IEW      720
22     G4  II            GI      705
23     G4 III            GW     1721
24     G4  IV           IAI      144
25     G5   V           IEI      940
26     G5  VI           IEW      375
27     G5   I            GI     1209
28     G5  II            GW      414
29     G5 III           IAI      261
30     G5  IV           IAW      493
31     G6  IV           IEW      841
32     G6   V            GI     1006
33     G6  VI            GW      189
34     G6   I           IAI     1000
35     G6  II           IAW      607
36     G6 III           IEI      730
37     G1 III            GI     1780
38     G1  IV            GW      762
39     G1   V           IAI     1870
40     G1  VI           IAW      597
41     G1   I           IEI     1868
42     G1  II           IEW     1283
43     G2   I            GW       96
44     G2  II           IAI      115
45     G2 III           IAW      677
46     G2  IV           IEI      956
47     G2   V           IEW     1136
48     G2  VI            GI      659
49     G3  VI           IAI      391
50     G3   I           IAW      681
51     G3  II           IEI      673
52     G3 III           IEW      398
53     G3  IV            GI      590
54     G3   V            GW      380
55     G4   V           IAW      727
56     G4  VI           IEI      934
57     G4   I           IEW     1289
58     G4  II            GI     1455
59     G4 III            GW      316
60     G4  IV           IAI      739
61     G5   V           IEI      915
62     G5  VI           IEW      911
63     G5   I            GI     1115
64     G5  II            GW     1037
65     G5 III           IAI      390
66     G5  IV           IAW      306
67     G6  IV           IEW      640
68     G6   V            GI      758
69     G6  VI            GW      229
70     G6   I           IAI      502
71     G6  II           IAW      674
72     G6 III           IEI     1136
73     G1 III            GI     1502
74     G1  IV            GW      578
75     G1   V           IAI     1767
76     G1  VI           IAW      675
77     G1   I           IEI     1021
78     G1  II           IEW      546
79     G2   I            GW     1398
80     G2  II           IAI      690
81     G2 III           IAW      515
82     G2  IV           IEI      870
83     G2   V           IEW      462
84     G2  VI            GI      730
85     G3  VI           IAI      180
86     G3   I           IAW     1396
87     G3  II           IEI     1359
88     G3 III           IEW     1054
89     G3  IV            GI     1967
90     G3   V            GW      264
91     G4   V           IAW      518
92     G4  VI           IEI      736
93     G4   I           IEW      339
94     G4  II            GI     1005
95     G4 III            GW      307
96     G4  IV           IAI      692
97     G5   V           IEI      763
98     G5  VI           IEW       88
99     G5   I            GI      996
100    G5  II            GW      519
101    G5 III           IAI      518
102    G5  IV           IAW      654
103    G6  IV           IEI      929
104    G6   V            GI      803
105    G6  VI            GW      347
106    G6   I           IAI     1660
107    G6  II           IAW     1500
108    G6 III           IEI     1234
109    G1 III            GI     1112
110    G1  IV            GW      742
111    G1   V           IAI     1302
112    G1  VI           IAW      465
113    G1   I           IEI     1400
114    G1  II           IEW      637
115    G2   I            GW     1237
116    G2  II           IAI     1172
117    G2 III           IAW      548
118    G2  IV           IEI     1360
119    G2   V           IEW     1302
120    G2  VI            GI      764
121    G3  VI           IAI      248
122    G3   I           IAW     1095
123    G3  II           IEI      804
124    G3 III           IEW      221
125    G3  IV            GI      830
126    G3   V            GW      194
127    G4   V           IAW     1185
128    G4  VI           IEI      463
129    G4   I           IEW     1099
130    G4  II            GI     1414
131    G4 III            GW      253
132    G4  IV           IAI      563
133    G5   V           IEI     1060
134    G5  VI           IEW      458
135    G5   I            GI     1106
136    G5  II            GW      656
137    G5 III           IAI      389
138    G5  IV           IAW      484
139    G6  IV           IEW      410
140    G6   V            GI      961
141    G6  VI            GW      215
142    G6   I           IAI     1225
143    G6  II           IAW     1098
144    G6 III           IEI     1413
145    G1 III            GI     1112
146    G1  IV            GW      742
147    G1   V           IAI     1302
148    G1  VI           IAW      465
149    G1   I           IEI     1567
150    G1  II           IEW      637
151    G2   I            GW      773
152    G2  II           IAI      760
153    G2 III           IAW      470
154    G2  IV           IEI      802
155    G2   V           IEW      736
156    G2  VI            GI      730
157    G3  VI           IAI      449
158    G3   I           IAW      681
159    G3  II           IEI      795
160    G3 III           IEW      438
161    G3  IV            GI      934
162    G3   V            GW      404
163    G4   V           IAW      190
164    G4  VI           IEI      934
165    G4   I           IEW      861
166    G4  II            GI     1128
167    G4 III            GW      891
168    G4  IV           IAI      678
169    G5   V           IEI     1089
170    G5  VI           IEW      458
171    G5   I            GI     1136
172    G5  II            GW      656
173    G5 III           IAI      389
174    G5  IV           IAW      484
175    G6  IV           IEW      705
176    G6   V            GI     1040
177    G6  VI            GW      245
178    G6   I           IAI     1096
179    G6  II           IAW      969
180    G6 III           IEI     1252
