    group bug caracteristic time
1      G1   I           IAI  240
2      G1  II           IAW  300
3      G1 III           IEI  245
4      G1  IV           IEW  240
5      G1   V            GI  240
6      G1  VI            GW   17
7      G2  II            GI  348
8      G2 III            GW   85
9      G2  IV           IAI  149
10     G2   V           IAW   51
11     G2  VI           IEI  225
12     G2   I           IEW  420
13     G3 III           IEW  121
14     G3  IV            GI  167
15     G3   V            GW  115
16     G3  VI           IAI  114
17     G3   I           IAW  105
18     G3  II           IEI  210
19     G4  IV           IEI  363
20     G4   V           IEW  397
21     G4  VI            GI  225
22     G4   I            GW  396
23     G4  II           IAI  257
24     G4 III           IAW  234
25     G5   V           IEI  419
26     G5  VI           IEW  195
27     G5   I            GI  481
28     G5  II            GW  239
29     G5 III           IAI  344
30     G5  IV           IAW  201
31     G6  VI           IAW  316
32     G6   I           IEI  525
33     G6  II           IEW  340
34     G6 III            GI  493
35     G6  IV            GW  279
36     G6   V           IAI  419
37     G1   I           IAI  516
38     G1  II           IAW  388
39     G1 III           IEI  160
40     G1  IV           IEW  156
41     G1   V            GI  349
42     G1  VI            GW   79
43     G2  II            GI  392
44     G2 III            GW  308
45     G2  IV           IAI  415
46     G2   V           IAW  291
47     G2  VI           IEI  133
48     G2   I           IEW  543
49     G3 III           IEW  321
50     G3  IV            GI  281
51     G3   V            GW  207
52     G3  VI           IAI  114
53     G3   I           IAW  207
54     G3  II           IEI  368
55     G4  IV           IEI  350
56     G4   V           IEW  446
57     G4  VI            GI  213
58     G4   I            GW  285
59     G4  II           IAI  306
60     G4 III           IAW  223
61     G5   V           IEI  260
62     G5  VI           IEW   28
63     G5   I            GI  498
64     G5  II            GW  321
65     G5 III           IAI  172
66     G5  IV           IAW  173
67     G6  VI           IAW   78
68     G6   I           IEI  443
69     G6  II           IEW  359
70     G6 III            GI  375
71     G6  IV            GW  350
72     G6   V           IAI  179
73     G1   I           IAI  307
74     G1  II           IAW  166
75     G1 III           IEI  343
76     G1  IV           IEW  228
77     G1   V            GI  157
78     G1  VI            GW   54
79     G2  II            GI  336
80     G2 III            GW   72
81     G2  IV           IAI  203
82     G2   V           IAW  245
83     G2  VI           IEI  111
84     G2   I           IEW   97
85     G3 III           IEW  405
86     G3  IV            GI  404
87     G3   V            GW  130
88     G3  VI           IAI  127
89     G3   I           IAW  408
90     G3  II           IEI  102
91     G4  IV           IEI  431
92     G4   V           IEW  158
93     G4  VI            GI  233
94     G4   I            GW  425
95     G4  II           IAI  414
96     G4 III           IAW  194
97     G5   V           IEI  276
98     G5  VI           IEW  184
99     G5   I            GI  328
100    G5  II            GW  210
101    G5 III           IAI  132
102    G5  IV           IAW  258
103    G6   V           IAW  171
104    G6   I           IEI  364
105    G6  II           IEW  357
106    G6 III            GI  370
107    G6  IV            GW  257
108    G6   V           IAI  373
109    G1   I           IAI  349
110    G1  II           IAW  344
111    G1 III           IEI  331
112    G1  IV           IEW  227
113    G1   V            GI  206
114    G1  VI            GW   83
115    G2  II            GI  387
116    G2 III            GW  371
117    G2  IV           IAI  207
118    G2   V           IAW  215
119    G2  VI           IEI  260
120    G2   I           IEW  348
121    G3 III           IEW  171
122    G3  IV            GI  220
123    G3   V            GW   71
124    G3  VI           IAI   92
125    G3   I           IAW  381
126    G3  II           IEI  176
127    G4  IV           IEI  492
128    G4   V           IEW  471
129    G4  VI            GI  250
130    G4   I            GW  455
131    G4  II           IAI  458
132    G4 III           IAW  256
133    G5   V           IEI  280
134    G5  VI           IEW  168
135    G5   I            GI  376
136    G5  II            GW  280
137    G5 III           IAI  140
138    G5  IV           IAW  190
139    G6  VI           IAW  143
140    G6   I           IEI  476
141    G6  II           IEW  389
142    G6 III            GI  298
143    G6  IV            GW  312
144    G6   V           IAI  323
145    G1   I           IAI  281
146    G1  II           IAW  238
147    G1 III           IEI  385
148    G1  IV           IEW  230
149    G1   V            GI  308
150    G1  VI            GW   89
151    G2  II            GI  367
152    G2 III            GW  455
153    G2  IV           IAI  361
154    G2   V           IAW  261
155    G2  VI           IEI  184
156    G2   I           IEW  684
157    G3 III           IEW  105
158    G3  IV            GI  336
159    G3   V            GW   94
160    G3  VI           IAI   62
161    G3   I           IAW  478
162    G3  II           IEI  455
163    G4  IV           IEI  424
164    G4   V           IEW  340
165    G4  VI            GI  249
166    G4   I            GW  355
167    G4  II           IAI  264
168    G4 III           IAW  214
169    G5   V           IEI  386
170    G5  VI           IEW  168
171    G5   I            GI  391
172    G5  II            GW  229
173    G5 III           IAI  186
174    G5  IV           IAW  210
175    G6  VI           IAW  134
176    G6   I           IEI  498
177    G6  II           IEW  322
178    G6 III            GI  415
179    G6  IV            GW  238
180    G6   V           IAI  149
